ix;iy;n_muestras;area_m2;densidad;centroid_lat;centroid_lon;minx;miny;maxx;maxy
14,000000;25,000000;5,000000;10000,000000;0,000500;6,102649;-75,637154;429448,364560;674543,270389;429548,364560;674643,270389
14,000000;78,000000;1,000000;10000,000000;0,000100;6,150591;-75,637211;429448,364560;679843,270389;429548,364560;679943,270389
14,000000;82,000000;1,000000;10000,000000;0,000100;6,154209;-75,637215;429448,364560;680243,270389;429548,364560;680343,270389
14,000000;103,000000;1,000000;10000,000000;0,000100;6,173205;-75,637238;429448,364560;682343,270389;429548,364560;682443,270389
15,000000;2,000000;2,000000;10000,000000;0,000200;6,081845;-75,636226;429548,364560;672243,270389;429648,364560;672343,270389
15,000000;6,000000;1,000000;10000,000000;0,000100;6,085463;-75,636230;429548,364560;672643,270389;429648,364560;672743,270389
15,000000;9,000000;2,000000;10000,000000;0,000200;6,088177;-75,636234;429548,364560;672943,270389;429648,364560;673043,270389
15,000000;19,000000;1,000000;10000,000000;0,000100;6,097222;-75,636244;429548,364560;673943,270389;429648,364560;674043,270389
15,000000;20,000000;1,000000;10000,000000;0,000100;6,098127;-75,636245;429548,364560;674043,270389;429648,364560;674143,270389
15,000000;21,000000;2,000000;10000,000000;0,000200;6,099031;-75,636246;429548,364560;674143,270389;429648,364560;674243,270389
15,000000;23,000000;6,000000;10000,000000;0,000600;6,100841;-75,636248;429548,364560;674343,270389;429648,364560;674443,270389
15,000000;82,000000;1,000000;10000,000000;0,000100;6,154210;-75,636312;429548,364560;680243,270389;429648,364560;680343,270389
15,000000;100,000000;1,000000;10000,000000;0,000100;6,170493;-75,636331;429548,364560;682043,270389;429648,364560;682143,270389
15,000000;101,000000;4,000000;10000,000000;0,000400;6,171397;-75,636332;429548,364560;682143,270389;429648,364560;682243,270389
15,000000;102,000000;2,000000;10000,000000;0,000200;6,172302;-75,636333;429548,364560;682243,270389;429648,364560;682343,270389
15,000000;103,000000;3,000000;10000,000000;0,000300;6,173206;-75,636334;429548,364560;682343,270389;429648,364560;682443,270389
15,000000;220,000000;2,000000;10000,000000;0,000200;6,279041;-75,636462;429548,364560;694043,270389;429648,364560;694143,270389
16,000000;2,000000;7,000000;10000,000000;0,000700;6,081846;-75,635322;429648,364560;672243,270389;429748,364560;672343,270389
16,000000;3,000000;1,000000;10000,000000;0,000100;6,082750;-75,635324;429648,364560;672343,270389;429748,364560;672443,270389
16,000000;7,000000;1,000000;10000,000000;0,000100;6,086368;-75,635328;429648,364560;672743,270389;429748,364560;672843,270389
16,000000;8,000000;1,000000;10000,000000;0,000100;6,087273;-75,635329;429648,364560;672843,270389;429748,364560;672943,270389
16,000000;15,000000;1,000000;10000,000000;0,000100;6,093605;-75,635336;429648,364560;673543,270389;429748,364560;673643,270389
16,000000;17,000000;1,000000;10000,000000;0,000100;6,095414;-75,635338;429648,364560;673743,270389;429748,364560;673843,270389
16,000000;102,000000;5,000000;10000,000000;0,000500;6,172303;-75,635429;429648,364560;682243,270389;429748,364560;682343,270389
16,000000;103,000000;2,000000;10000,000000;0,000200;6,173207;-75,635430;429648,364560;682343,270389;429748,364560;682443,270389
16,000000;221,000000;3,000000;10000,000000;0,000300;6,279946;-75,635559;429648,364560;694143,270389;429748,364560;694243,270389
17,000000;2,000000;1,000000;10000,000000;0,000100;6,081847;-75,634419;429748,364560;672243,270389;429848,364560;672343,270389
17,000000;3,000000;1,000000;10000,000000;0,000100;6,082751;-75,634420;429748,364560;672343,270389;429848,364560;672443,270389
17,000000;4,000000;1,000000;10000,000000;0,000100;6,083656;-75,634421;429748,364560;672443,270389;429848,364560;672543,270389
17,000000;15,000000;3,000000;10000,000000;0,000300;6,093606;-75,634433;429748,364560;673543,270389;429848,364560;673643,270389
17,000000;16,000000;1,000000;10000,000000;0,000100;6,094511;-75,634434;429748,364560;673643,270389;429848,364560;673743,270389
17,000000;103,000000;5,000000;10000,000000;0,000500;6,173208;-75,634527;429748,364560;682343,270389;429848,364560;682443,270389
17,000000;219,000000;5,000000;10000,000000;0,000500;6,278138;-75,634653;429748,364560;693943,270389;429848,364560;694043,270389
17,000000;221,000000;2,000000;10000,000000;0,000200;6,279948;-75,634655;429748,364560;694143,270389;429848,364560;694243,270389
18,000000;0,000000;3,000000;10000,000000;0,000300;6,080039;-75,633513;429848,364560;672043,270389;429948,364560;672143,270389
18,000000;2,000000;2,000000;10000,000000;0,000200;6,081848;-75,633515;429848,364560;672243,270389;429948,364560;672343,270389
18,000000;5,000000;3,000000;10000,000000;0,000300;6,084561;-75,633518;429848,364560;672543,270389;429948,364560;672643,270389
18,000000;6,000000;2,000000;10000,000000;0,000200;6,085466;-75,633519;429848,364560;672643,270389;429948,364560;672743,270389
18,000000;7,000000;1,000000;10000,000000;0,000100;6,086371;-75,633520;429848,364560;672743,270389;429948,364560;672843,270389
18,000000;8,000000;1,000000;10000,000000;0,000100;6,087275;-75,633521;429848,364560;672843,270389;429948,364560;672943,270389
18,000000;103,000000;3,000000;10000,000000;0,000300;6,173210;-75,633623;429848,364560;682343,270389;429948,364560;682443,270389
18,000000;105,000000;3,000000;10000,000000;0,000300;6,175019;-75,633625;429848,364560;682543,270389;429948,364560;682643,270389
18,000000;218,000000;2,000000;10000,000000;0,000200;6,277235;-75,633748;429848,364560;693843,270389;429948,364560;693943,270389
18,000000;220,000000;1,000000;10000,000000;0,000100;6,279044;-75,633750;429848,364560;694043,270389;429948,364560;694143,270389
19,000000;4,000000;1,000000;10000,000000;0,000100;6,083658;-75,632614;429948,364560;672443,270389;430048,364560;672543,270389
19,000000;5,000000;1,000000;10000,000000;0,000100;6,084563;-75,632615;429948,364560;672543,270389;430048,364560;672643,270389
19,000000;6,000000;1,000000;10000,000000;0,000100;6,085467;-75,632616;429948,364560;672643,270389;430048,364560;672743,270389
19,000000;104,000000;1,000000;10000,000000;0,000100;6,174115;-75,632720;429948,364560;682443,270389;430048,364560;682543,270389
19,000000;105,000000;2,000000;10000,000000;0,000200;6,175020;-75,632721;429948,364560;682543,270389;430048,364560;682643,270389
19,000000;218,000000;2,000000;10000,000000;0,000200;6,277236;-75,632844;429948,364560;693843,270389;430048,364560;693943,270389
20,000000;5,000000;1,000000;10000,000000;0,000100;6,084564;-75,631711;430048,364560;672543,270389;430148,364560;672643,270389
21,000000;13,000000;1,000000;10000,000000;0,000100;6,091801;-75,630816;430148,364560;673343,270389;430248,364560;673443,270389
21,000000;14,000000;1,000000;10000,000000;0,000100;6,092706;-75,630817;430148,364560;673443,270389;430248,364560;673543,270389
21,000000;15,000000;1,000000;10000,000000;0,000100;6,093610;-75,630818;430148,364560;673543,270389;430248,364560;673643,270389
21,000000;16,000000;2,000000;10000,000000;0,000200;6,094515;-75,630819;430148,364560;673643,270389;430248,364560;673743,270389
22,000000;15,000000;1,000000;10000,000000;0,000100;6,093611;-75,629914;430248,364560;673543,270389;430348,364560;673643,270389
22,000000;16,000000;1,000000;10000,000000;0,000100;6,094516;-75,629915;430248,364560;673643,270389;430348,364560;673743,270389
22,000000;18,000000;1,000000;10000,000000;0,000100;6,096325;-75,629917;430248,364560;673843,270389;430348,364560;673943,270389
22,000000;104,000000;1,000000;10000,000000;0,000100;6,174118;-75,630009;430248,364560;682443,270389;430348,364560;682543,270389
23,000000;17,000000;1,000000;10000,000000;0,000100;6,095422;-75,629013;430348,364560;673743,270389;430448,364560;673843,270389
23,000000;104,000000;1,000000;10000,000000;0,000100;6,174119;-75,629105;430348,364560;682443,270389;430448,364560;682543,270389
23,000000;105,000000;3,000000;10000,000000;0,000300;6,175024;-75,629106;430348,364560;682543,270389;430448,364560;682643,270389
