id_barrio;barrio;origen
35195;QUINTAS DE SAN SEBASTIAN;cobro
45675;SAN SEBASTIAN D/DAS;cobro
34995;BALALAIKA;cobro
45660;BOSQUES DE SAN MARTIN;cobro
45682;CONJUNTO ZUITAMA D/DAS;cobro
45678;EL CARBONERO;cobro
45651;LA SOLEDAD;cobro
45668;MERCURIO D/DAS;cobro
45659;RESERVAS DE MILAN D/DAS;cobro
45666;TULIPANES D/DAS;cobro
45676;URB. COLMENARES D/DAS;cobro
45663;URB. EL BOSQUE D/DAS;cobro
45665;VILLA DEL PILAR D/DAS;cobro
45667;NVA GRANADA D/DAS;cobro
35212;QUINTAS DEL JARDIN COLONIAL;cobro
45673;JARDIN COLONIAL D/DAS;cobro
35215;LLANO AZUL;cobro
45642;CESAR AGUSTO D/DAS;cobro
45650;INDEPENDENCIA D/DAS;cobro
45616;LIBERTADORES;cobro
35014;CAMBULOS;cobro
45643;QUINTAS DE SAN SEBASTIAN D/DAS;cobro
35251;OLIVOS DOSQUEBRADA;cobro
46545;VARIANTE LA ROMELIA EL POLLO;cobro
35024;CASAS DE MILAN;cobro
45636;GUADUALES DE MILAN;cobro
46073;SAN RAFAEL D/DAS;cobro
45653;ALTOS DE VILLA MARIELA;cobro
35214;VILLA FANNY;cobro
45638;VILLA FANNY D/DAS;cobro
45645;VILLA DE LOS LAGOS D/DAS;cobro
45669;VILLA TULA D/DAS;cobro
45280;VENUS;cobro
35027;CESAR AUGUSTO;cobro
46530;CONJUNTO RESIDENCIAL AQUA;cobro
45278;ALTOS DE LA CAPILLA;cobro
45632;CERRO AZUL;cobro
35266;GIRASOL;cobro
35080;LA COLINA;cobro
35103;LOS MOLINOS;cobro
35210;MOLINOS;cobro
35135;PRIMAVERA AZUL;cobro
35015;CAMILO TORRES;cobro
45279;LA MARIANA;cobro
45295;DIVINO NIÑO;cobro
35053;EL MARTILLO;cobro
35227;EL PROGRESO;cobro
45646;EL PROGRESO D/DAS;cobro
35229;MODELO;cobro
46268;MOLIVENTO;cobro
45291;PROGRESO;cobro
46518;VILLA VENTO;cobro
45662;AV SIMON BOLIVAR D/DAS;cobro
35213;BOSQUES DE MILAN;cobro
35034;COLINAS;cobro
35045;DOSQUEBRADAS;cobro
35076;JARDINES DE MILAN;cobro
35219;JUPITER;cobro
45287;LA CAPILLA;cobro
45661;LOS ALPES D/DAS;cobro
45658;LUIS CARLOS GALAN D/DAS;cobro
35187;SAN DIEGO;cobro
35244;SAN FERNANDO;cobro
45649;URB. PIAMONTE D/DAS;cobro
45637;VERSALLES;cobro
35118;PABLO SEXTO;cobro
46513;PUEBLO SOL;cobro
48871;LOS JUNCOS;cobro
48872;MIRADOR DE VILLAVENTO;cobro
35123;ALVARO PATIÑO 1 (FRAILES);cobro
48811;ALVARO PATIÑO 2 (FRAILES);cobro
34955;AURORA;cobro
45630;CAMBULOS POPA;cobro
48812;CAMILO MEJIA (FRAILES);cobro
48818;CAMINOS DE LA PRADERA;cobro
48824;CONJUNTO LA GIRALDA;cobro
35074;EL JAPON;cobro
48815;FLORESTA PARQUE RESIDENCIAL;cobro
35193;FRAILES;cobro
48814;GALATEA PARQUE RESIDENCIAL;cobro
34991;LA AURORA;cobro
45652;LA CAMPIÑA D/DAS;cobro
35207;LA OKARINA;cobro
35205;LA POPA;cobro
46094;LA PRADERA;cobro
35091;LA SULTANA;cobro
34966;LA SULTANA.;cobro
45679;LAGUITOS;cobro
45648;LARA BONILLA (FRAILES);cobro
45634;LAS VIOLETAS;cobro
46546;MIRADOR DE LA ESTANCIA (JAPON);cobro
45656;MIRADOR SANTA MONICA D/DAS;cobro
46553;MONTE BONITO;cobro
46074;OLAYA HERRERA;cobro
35133;PRADERA;cobro
48819;RESERVA DE LA PRADERA;cobro
48820;RINCON DE LA PRADERA;cobro
