id_barrio;barrio;id_ruta_cobro;ruta_cobro;id_centroope
26473;PLANECO;39;"RUTA  7 CRISTO REY";3
12237;"BELEN DIEGO ECHAVARRIA";40;"RUTA  8 BELEN";3
12256;"BELEN LA INMACULADA";40;"RUTA  8 BELEN";3
12020;"BELEN MALIBU";40;"RUTA  8 BELEN";3
12272;"BELEN SAN CARLOS";40;"RUTA  8 BELEN";3
12006;"BELEN LA NUBIA";40;"RUTA  8 BELEN";3
12241;"BELEN ALIADAS";40;"RUTA  8 BELEN";3
12230;"BELEN NOGAL";40;"RUTA  8 BELEN";3
11997;"BELEN LA PALMA";40;"RUTA  8 BELEN";3
12029;"BELEN MIRAVALLE";40;"RUTA  8 BELEN";3
12227;"BELEN PARQUE";40;"RUTA  8 BELEN";3
12188;"BELEN LA MOTA";40;"RUTA  8 BELEN";3
12024;"BELEN LOS  MOLINOS";40;"RUTA  8 BELEN";3
11992;"BELEN LAS PLAYAS";40;"RUTA  8 BELEN";3
11998;"BELEN ALTA VISTA";40;"RUTA  8 BELEN";3
12002;MANZANARES;40;"RUTA  8 BELEN";3
12698;"UR. CERCANÍAS DE LA MOTA. CALLE 9A-73-95";40;"RUTA  8 BELEN";3
26535;"CAMPO AMOR";40;"RUTA  8 BELEN";3
46192;"CAMPO AMOR";40;"RUTA  8 BELEN";3
12004;ROSALES;40;"RUTA  8 BELEN";3
12017;"BELEN FATIMA";40;"RUTA  8 BELEN";3
12228;"BELEN LAS MARGARITAS";40;"RUTA  8 BELEN";3
11995;"BELEN SAN BERNARDO";40;"RUTA  8 BELEN";3
12595;"BELEN ROSALES";40;"RUTA  8 BELEN";3
12000;CAMPOAMOR;40;"RUTA  8 BELEN";3
12012;"CASA LINDA";40;"RUTA  8 BELEN";3
12014;"SANTA FE";40;"RUTA  8 BELEN";3
12011;"SAN PABLO";40;"RUTA  8 BELEN";3
12067;ALCAZAREZ;40;"RUTA  8 BELEN";3
12060;PRADERA;40;"RUTA  8 BELEN";3
12027;"SAN JAVIER";40;"RUTA  8 BELEN";3
12061;"SANTA LUCIA LA PRADERA";40;"RUTA  8 BELEN";3
12676;"ROBLEDO JORGE E GAITAN";45;"RUTA 14  ROBLEDO";3
12046;"ROBLEDO VILLA REAL";45;"RUTA 14  ROBLEDO";3
12322;"ROBLEDO LA PORTADA";45;"RUTA 14  ROBLEDO";3
12279;"ROBLEDO (LA HUERTA)";45;"RUTA 14  ROBLEDO";3
12216;"ROBLEDO CURAZAO";45;"RUTA 14  ROBLEDO";3
12054;"ROBLEDO CADIZ";45;"RUTA 14  ROBLEDO";3
12056;"ROBLEDO LA POLA";45;"RUTA 14  ROBLEDO";3
12050;"ROBLEDO LOS POMOS";45;"RUTA 14  ROBLEDO";3
12686;"ROBLEDO ALTAMIRA";45;"RUTA 14  ROBLEDO";3
12048;"ROBLEDO AURES";45;"RUTA 14  ROBLEDO";3
12065;"ROBLEDO KENEDY";45;"RUTA 14  ROBLEDO";3
46170;"ROBLEDO LA AURORA";45;"RUTA 14  ROBLEDO";3
