id_barrio;barrio;origen
35026;CENTRO;logistica
35027;CESAR AUGUSTO;logistica
35028;CIRCUNVALAR;logistica
35029;CISNES;logistica
35030;CIUDAD JARDIN;logistica
35033;CODELMAR (CUBA);logistica
35034;COLINAS;logistica
35035;VEREDA COMBIA;logistica
35036;COMFAMILIAR  PARQUE INDUSTRIAL;logistica
35037;CONSOTA;logistica
35039;CORALES;logistica
35040;CORALINA (CUBA);logistica
35041;COROCITO;logistica
35042;CRISTALES (CUBA);logistica
35043;CUBA CENTRO;logistica
35044;DEPARTAMENTO;logistica
35045;DOSQUEBRADAS;logistica
35046;EDEN (CUBA);logistica
35047;EL BOSQUE (ALAMOS);logistica
35048;EL CARDAL (CUBA);logistica
35049;EL CHICO KENEDY;logistica
35050;EL CHICO RESTREPO;logistica
35051;EL EDEN;logistica
35052;EL LAGO;logistica
35053;EL MARTILLO;logistica
35054;EL PARAISO (2500 LTS);logistica
35056;EL PLUMON;logistica
35057;EL TRIUNFO;logistica
35058;GALAN (CENTRO);logistica
35059;GALICIA;logistica
35060;GAMA (CUBA);logistica
35062;GIBRALTAR;logistica
35063;GIRASOLES (CUBA);logistica
35064;LA GRACIELA;logistica
35065;GUADALUPE (CUBA);logistica
35066;GUADUALES;logistica
35067;GUALANDAY (CENTRO);logistica
35068;GUAYACANES;logistica
35069;HABANA;logistica
35070;HAMBURGO;logistica
35071;HEROES;logistica
35073;INDEPENDIENTES (2500 LTS);logistica
35074;EL JAPON;logistica
35075;JARDIN;logistica
35076;JARDINES DE MILAN;logistica
35077;JOSE MARIA C;logistica
35078;KENNEDY;logistica
35079;LA BADEA;logistica
35080;LA COLINA;logistica
35081;LA DIVISA (CUBA);logistica
35082;LA ESPERANZA;logistica
35083;LA FLORESTA (CUBA);logistica
35084;LA FRANCIA (2500 LTS);logistica
35086;LA ISLA;logistica
35088;LA PRIMAVERA;logistica
35089;LA REBECA;logistica
35090;LA ROMELIA;logistica
35091;LA SULTANA;logistica
35093;LA UNIDAD;logistica
35094;LA VICTORIA;logistica
35095;LA VILLA (CUBA);logistica
35096;LAS GAVIOTAS;logistica
35097;LAS MERCEDES;logistica
35098;LAURELES;logistica
35099;LIBERTADOR (2500 LTS);logistica
35100;LIBERTADORES (CUCHILLA);logistica
35101;LORENA;logistica
35102;LOS CEDROS;logistica
35103;LOS MOLINOS;logistica
35104;LOS OLIVOS;logistica
35105;LOS PINOS CUBA;logistica
35106;MARAYA;logistica
35107;MEJIA ROBLEDO;logistica
35108;METROPOLITANO 2500 LTS;logistica
35109;MILAN RUBIO;logistica
35111;MONTELIBANO;logistica
35112;NACEDEROS;logistica
35113;NARANJITOS;logistica
35114;NARANJOS;logistica
35116;OLIMPICO (GAMA);logistica
35118;PABLO SEXTO;logistica
35120;PALERMO;logistica
35121;PANORAMA;logistica
35122;PARQUE INDUSTRIAL;logistica
35123;ALVARO PATIÑO 1 (FRAILES);logistica
35124;EL PEÑOL;logistica
35125;PERLA DEL OTUN;logistica
35126;PERLA DEL SUR (CUBA);logistica
35127;PINARES;logistica
35128;PIZAMO-KENEDY;logistica
35129;LA PLAYA;logistica
35130;POBLADO;logistica
35131;POPULAR MODELO;logistica
35132;PORVENIR;logistica
35133;PRADERA;logistica
35135;PRIMAVERA AZUL;logistica
35136;PROGRESO;logistica
35139;RAFAEL URIBE (CUBA);logistica
35140;RINCON DE LA ESTACION;logistica
35141;RINCON DE LOS ROBLES (BELMONTE);logistica
35142;EL ROCIO;logistica
35143;ROSALES CIRCUNVALAR;logistica
35144;SAMARIA;logistica
35146;SAN FELIPE (SAUCES);logistica
35147;SAN FERNANDO;logistica
35148;SAN JOAQUIN;logistica
35149;SAN JORGE;logistica
35150;SAN JOSE;logistica
35151;SAN JUDAS;logistica
35152;SAN LUIS;logistica
35153;SAN NICOLAS;logistica
35154;SANTA CLARA (CUBA);logistica
35155;SANTA FE 2500 LOTES;logistica
35156;SANTA ISABEL;logistica
35157;SANTA JUANA DE LAS VILLAS (CUBA);logistica
35160;SANTA ROSA;logistica
35161;SANTA TERESITA (PEREIRA);logistica
35162;LOS SAUCES (CUBA);logistica
35164;SINAI;logistica
35165;SULTANA;logistica
35167;TERRANOVA (CUBA);logistica
35168;TINAJAS (CUBA);logistica
35169;TORRES DE SAN MATEO;logistica
35170;TORRES DEL SOL;logistica
35171;TULCAN II;logistica
35173;TURIN;logistica
35174;URIBE;logistica
35175;VALER;logistica
35176;VENECIA;logistica
35177;VICTORIA;logistica
35179;VILLA DEL PRADO;logistica
35181;BOSQUES STA MONICA - CUBA;logistica
35182;UR EL CARBONERO;logistica
35183;VILLA DEL CAMPO;logistica
35184;BULEVAR (CUBA);logistica
35185;PRIMAVERA;logistica
35187;SAN DIEGO;logistica
35188;LOS REYES;logistica
35189;SAN FELIX;logistica
35191;VILLA MERY;logistica
35193;FRAILES;logistica
35194;EL BOHIO;logistica
35195;QUINTAS DE SAN SEBASTIAN;logistica
35196;MARACAY;logistica
35197;LA MACARENA;logistica
35198;GAITAN;logistica
35200;SAN MARCOS (CUBA);logistica
35201;VILLA NAVARRA (CUCHILLA);logistica
35202;NISSA;logistica
35203;VILLA LIGIA (CUCHULLA);logistica
35205;LA POPA;logistica
35206;QUINTAS DEL CAMPESTRE;logistica
35207;LA OKARINA;logistica
35208;VILLA LAURA;logistica
35210;MOLINOS;logistica
35211;VILLA ELKIN;logistica
35212;QUINTAS DEL JARDIN COLONIAL;logistica
35213;BOSQUES DE MILAN;logistica
35215;LLANO AZUL;logistica
35216;LOS PINOS DOS/DAS;logistica
35217;TEJARES DE LA LOMA;logistica
35218;VILLA ELIZA (SAUCES CUBA);logistica
35219;JUPITER;logistica
35220;LLANO GRANDE;logistica
35221;MALAGA;logistica
35222;GAVIOTAS;logistica
35223;VILLA COLOMBIA;logistica
35225;HACIENDA (CUBA);logistica
35226;SAN ANTONIO 2;logistica
35227;EL PROGRESO;logistica
35228;COLINAS DEL TRIUNFO;logistica
35229;MODELO;logistica
35230;GETSEMANI;logistica
35231;CONSTRUCTORES;logistica
35232;LENINGRADO (ETP 1);logistica
35233;EL PRADO;logistica
35234;EL DORADO;logistica
35235;ORMAZA CENTRO;logistica
35236;SANTA ELENA;logistica
35237;NORMANDIA;logistica
35238;BOSQUES DE LA ACUARELA;logistica
35239;BOHIO;logistica
35240;SALVADOR ALLENDE;logistica
35241;SAN ANTONIO 1;logistica
35243;SANTA TERESITA;logistica
35244;SAN FERNANDO;logistica
35245;SANTA MONICA;logistica
35246;VILLA DEL ROCIO;logistica
35247;ALTA GRACIA (CUBA);logistica
35248;COMFAMILIAR CUBA;logistica
35249;PUEBLITO CAFETERO (CUBA);logistica
35250;INDEPENDENCIA (CUBA);logistica
35251;OLIVOS DOSQUEBRADA;logistica
35252;VILLA ALICIA;logistica
35253;ORMAZA CUBA;logistica
35254;GUADALUPE;logistica
35256;POBLADO SANTA ISABEL;logistica
35257;CONSOTA 2500 LOTES;logistica
35258;VILLA DEL BOSQUE (SAUCES CUBA);logistica
35260;BOSQUES DE LA SALLE;logistica
35262;LA DULCERA;logistica
35263;CERRITOS;logistica
35264;AVENIDA DEL RIO;logistica
35265;SANTA CLARA DE LAS VILLAS (CUBA);logistica
35266;GIRASOL;logistica
35267;GUAYACANES CUBA;logistica
35268;GUAYACANES;logistica
35269;CESAR NADER;logistica
35270;VILLA VERDE;logistica
35271;CIUDAD PEREIRA;logistica
35272;VILLAVICENCIO;logistica
35273;ESPERANZA CENTRO;logistica
45033;CODELMAR EPT 2 (CUBA);logistica
45167;TERRANOVA PEREIRA;logistica
45274;30 DE AGOSTO CENTRO;logistica
45275;TULCAN 1;logistica
45276;VILLA SANTANA;logistica
45277;LIMONAR;logistica
45278;ALTOS DE LA CAPILLA;logistica
45279;LA MARIANA;logistica
45280;VENUS;logistica
45281;OLAYA HERRERA;logistica
